%t , vf , sr , u_s
2.840000e-01 , 4.434517e-01 , -7.935319e-02 , 1.200000e+01
2.850000e-01 , 4.440897e-01 , 6.419118e-03 , 1.200000e+01
2.860000e-01 , 4.470585e-01 , 7.423479e-02 , 1.200000e+01
2.870000e-01 , 4.499149e-01 , 1.346228e-01 , -8.805725e+00
2.880000e-01 , 4.526173e-01 , 1.977638e-01 , -1.200000e+01
2.890000e-01 , 4.552115e-01 , 2.635835e-01 , -1.200000e+01
2.900000e-01 , 4.577419e-01 , 3.205365e-01 , -1.200000e+01
2.910000e-01 , 4.602328e-01 , 3.672465e-01 , -1.200000e+01
2.920000e-01 , 4.626984e-01 , 4.042098e-01 , -1.200000e+01
2.930000e-01 , 4.651477e-01 , 4.319408e-01 , -1.200000e+01
2.940000e-01 , 4.675869e-01 , 4.509482e-01 , -1.200000e+01
2.950000e-01 , 4.700208e-01 , 4.617249e-01 , -1.200000e+01
2.960000e-01 , 4.724531e-01 , 4.647431e-01 , -1.200000e+01
2.970000e-01 , 4.748876e-01 , 4.604525e-01 , -1.200000e+01
2.980000e-01 , 4.773278e-01 , 4.492797e-01 , -1.200000e+01
2.990000e-01 , 4.797774e-01 , 4.316273e-01 , -1.200000e+01
3.000000e-01 , 4.822410e-01 , 4.078738e-01 , -1.200000e+01
3.010000e-01 , 4.847241e-01 , 3.783725e-01 , -1.200000e+01
3.020000e-01 , 4.872343e-01 , 3.434494e-01 , -1.200000e+01
3.030000e-01 , 4.897823e-01 , 3.033999e-01 , -1.200000e+01
3.040000e-01 , 4.923842e-01 , 2.584811e-01 , -1.200000e+01
3.050000e-01 , 4.950662e-01 , 2.088979e-01 , -1.200000e+01
3.060000e-01 , 4.978697e-01 , 1.547817e-01 , -1.200000e+01
3.070000e-01 , 5.008274e-01 , 9.623672e-02 , 1.200000e+01
3.080000e-01 , 5.032753e-01 , 3.483860e-02 , 1.200000e+01
3.090000e-01 , 5.015709e-01 , -1.986821e-02 , 1.200000e+01
3.100000e-01 , 4.987876e-01 , -4.939794e-02 , 1.200000e+01
3.110000e-01 , 4.958428e-01 , -6.715716e-02 , 1.200000e+01
3.120000e-01 , 4.928725e-01 , -7.702867e-02 , 1.200000e+01
3.130000e-01 , 4.898998e-01 , -7.977975e-02 , 1.200000e+01
3.140000e-01 , 4.869311e-01 , -7.571668e-02 , 1.200000e+01
3.150000e-01 , 4.839951e-01 , -6.511689e-02 , 1.200000e+01
3.160000e-01 , 4.812222e-01 , -4.854211e-02 , 1.200000e+01
3.170000e-01 , 4.790703e-01 , -2.763809e-02 , 1.200000e+01
3.180000e-01 , 4.784479e-01 , -6.380428e-03 , 1.200000e+01
3.190000e-01 , 4.794892e-01 , 1.095509e-02 , 1.200000e+01
3.200000e-01 , 4.815139e-01 , 2.488301e-02 , 1.200000e+01
3.210000e-01 , 4.840858e-01 , 3.865889e-02 , 1.200000e+01
3.220000e-01 , 4.869431e-01 , 5.423531e-02 , 1.200000e+01
3.230000e-01 , 4.899082e-01 , 7.271439e-02 , 1.200000e+01
3.240000e-01 , 4.928685e-01 , 9.474287e-02 , 1.200000e+01
3.250000e-01 , 4.957662e-01 , 1.206125e-01 , -3.715706e-01
3.260000e-01 , 4.985815e-01 , 1.503392e-01 , -1.200000e+01
3.270000e-01 , 5.013150e-01 , 1.837666e-01 , -1.200000e+01
3.280000e-01 , 5.039865e-01 , 2.146310e-01 , -1.200000e+01
3.290000e-01 , 5.066197e-01 , 2.373632e-01 , -1.200000e+01
3.300000e-01 , 5.092306e-01 , 2.523450e-01 , -1.200000e+01
3.310000e-01 , 5.118309e-01 , 2.599675e-01 , -1.200000e+01
3.320000e-01 , 5.144304e-01 , 2.606163e-01 , -1.200000e+01
3.330000e-01 , 5.170381e-01 , 2.546623e-01 , -1.200000e+01
3.340000e-01 , 5.196637e-01 , 2.424568e-01 , -1.200000e+01
3.350000e-01 , 5.223186e-01 , 2.243262e-01 , -1.200000e+01
3.360000e-01 , 5.250174e-01 , 2.005670e-01 , -1.200000e+01
3.370000e-01 , 5.277802e-01 , 1.714392e-01 , -1.200000e+01
3.380000e-01 , 5.306326e-01 , 1.371623e-01 , -1.033448e+01
3.390000e-01 , 5.335879e-01 , 9.795727e-02 , 1.200000e+01
3.400000e-01 , 5.364418e-01 , 5.450931e-02 , 1.200000e+01
3.410000e-01 , 5.375231e-01 , 1.166489e-02 , 1.200000e+01
3.420000e-01 , 5.362684e-01 , -1.384587e-02 , 1.200000e+01
3.430000e-01 , 5.343471e-01 , -2.364340e-02 , 1.200000e+01
3.440000e-01 , 5.323593e-01 , -2.482986e-02 , 1.200000e+01
3.450000e-01 , 5.306377e-01 , -2.031800e-02 , 1.200000e+01
3.460000e-01 , 5.295193e-01 , -1.213542e-02 , 1.200000e+01
3.470000e-01 , 5.292970e-01 , -2.290098e-03 , 1.200000e+01
3.480000e-01 , 5.300370e-01 , 7.762564e-03 , 1.200000e+01
3.490000e-01 , 5.315951e-01 , 1.776807e-02 , 1.200000e+01
3.500000e-01 , 5.337709e-01 , 2.833675e-02 , 1.200000e+01
3.510000e-01 , 5.363713e-01 , 4.027406e-02 , 1.200000e+01
3.520000e-01 , 5.392228e-01 , 5.432725e-02 , 1.200000e+01
3.530000e-01 , 5.421826e-01 , 7.112204e-02 , 1.200000e+01
3.540000e-01 , 5.451495e-01 , 9.110538e-02 , 1.200000e+01
3.550000e-01 , 5.480657e-01 , 1.145068e-01 , 3.304001e+00
3.560000e-01 , 5.509071e-01 , 1.413540e-01 , -1.200000e+01
3.570000e-01 , 5.536704e-01 , 1.715318e-01 , -1.200000e+01
3.580000e-01 , 5.563690e-01 , 2.010119e-01 , -1.200000e+01
3.590000e-01 , 5.590269e-01 , 2.230576e-01 , -1.200000e+01
3.600000e-01 , 5.616601e-01 , 2.380101e-01 , -1.200000e+01
3.610000e-01 , 5.642809e-01 , 2.462182e-01 , -1.200000e+01
3.620000e-01 , 5.668990e-01 , 2.480269e-01 , -1.200000e+01
3.630000e-01 , 5.695236e-01 , 2.437690e-01 , -1.200000e+01
3.640000e-01 , 5.721638e-01 , 2.337611e-01 , -1.200000e+01
3.650000e-01 , 5.748303e-01 , 2.182990e-01 , -1.200000e+01
3.660000e-01 , 5.775362e-01 , 1.976540e-01 , -1.200000e+01
3.670000e-01 , 5.802988e-01 , 1.720682e-01 , -1.200000e+01
3.680000e-01 , 5.831401e-01 , 1.417520e-01 , -1.200000e+01
3.690000e-01 , 5.860768e-01 , 1.069041e-01 , 7.880801e+00
3.700000e-01 , 5.890241e-01 , 6.791835e-02 , 1.200000e+01
3.710000e-01 , 5.911076e-01 , 2.683701e-02 , 1.200000e+01
3.720000e-01 , 5.908362e-01 , -2.852884e-03 , 1.200000e+01
3.730000e-01 , 5.893482e-01 , -1.717492e-02 , 1.200000e+01
3.740000e-01 , 5.875702e-01 , -2.152894e-02 , 1.200000e+01
3.750000e-01 , 5.859071e-01 , -1.971579e-02 , 1.200000e+01
3.760000e-01 , 5.846743e-01 , -1.375984e-02 , 1.200000e+01
3.770000e-01 , 5.841640e-01 , -5.394739e-03 , 1.200000e+01
3.780000e-01 , 5.845368e-01 , 3.916113e-03 , 1.200000e+01
3.790000e-01 , 5.857514e-01 , 1.346800e-02 , 1.200000e+01
3.800000e-01 , 5.876510e-01 , 2.340871e-02 , 1.200000e+01
3.810000e-01 , 5.900544e-01 , 3.430879e-02 , 1.200000e+01
3.820000e-01 , 5.927880e-01 , 4.681169e-02 , 1.200000e+01
3.830000e-01 , 5.956998e-01 , 6.150424e-02 , 1.200000e+01
3.840000e-01 , 5.986717e-01 , 7.885273e-02 , 1.200000e+01
3.850000e-01 , 6.016260e-01 , 9.915501e-02 , 1.200000e+01
3.860000e-01 , 6.045218e-01 , 1.225284e-01 , -1.524966e+00
3.870000e-01 , 6.073441e-01 , 1.489411e-01 , -1.200000e+01
3.880000e-01 , 6.100928e-01 , 1.782649e-01 , -1.200000e+01
3.890000e-01 , 6.127850e-01 , 2.049075e-01 , -1.200000e+01
3.900000e-01 , 6.154408e-01 , 2.247831e-01 , -1.200000e+01
3.910000e-01 , 6.180746e-01 , 2.382064e-01 , -1.200000e+01
3.920000e-01 , 6.206973e-01 , 2.454950e-01 , -1.200000e+01
3.930000e-01 , 6.233179e-01 , 2.469605e-01 , -1.200000e+01
3.940000e-01 , 6.259446e-01 , 2.429030e-01 , -1.200000e+01
3.950000e-01 , 6.285859e-01 , 2.336078e-01 , -1.200000e+01
3.960000e-01 , 6.312515e-01 , 2.193422e-01 , -1.200000e+01
3.970000e-01 , 6.339530e-01 , 2.003528e-01 , -1.200000e+01
3.980000e-01 , 6.367055e-01 , 1.768623e-01 , -1.200000e+01
3.990000e-01 , 6.395283e-01 , 1.490667e-01 , -1.200000e+01
4.000000e-01 , 6.424398e-01 , 1.171441e-01 , 1.716350e+00
4.010000e-01 , 6.454128e-01 , 8.134600e-02 , 1.200000e+01
4.020000e-01 , 6.480497e-01 , 4.263336e-02 , 1.200000e+01
4.030000e-01 , 6.489315e-01 , 9.647381e-03 , 1.200000e+01
4.040000e-01 , 6.480238e-01 , -9.979328e-03 , 1.200000e+01
4.050000e-01 , 6.464757e-01 , -1.825830e-02 , 1.200000e+01
4.060000e-01 , 6.448410e-01 , -1.953660e-02 , 1.200000e+01
4.070000e-01 , 6.434458e-01 , -1.609739e-02 , 1.200000e+01
4.080000e-01 , 6.425760e-01 , -9.524750e-03 , 1.200000e+01
4.090000e-01 , 6.424608e-01 , -1.222857e-03 , 1.200000e+01
4.100000e-01 , 6.431805e-01 , 7.784450e-03 , 1.200000e+01
4.110000e-01 , 6.446581e-01 , 1.715287e-02 , 1.200000e+01
4.120000e-01 , 6.467401e-01 , 2.712372e-02 , 1.200000e+01
4.130000e-01 , 6.492578e-01 , 3.819337e-02 , 1.200000e+01
4.140000e-01 , 6.520518e-01 , 5.089509e-02 , 1.200000e+01
4.150000e-01 , 6.549864e-01 , 6.570359e-02 , 1.200000e+01
